date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:27	371653/371653	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2004:32:26%20GMT	https://krishna-enterprises-j4nm-staging.b12sites.com/index	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/index.html	(from )
10:02:28	25/25	---M--	200	added ('OK')	text/plain	date:Sat,%2008%20Feb%202025%2004:32:27%20GMT	https://krishna-enterprises-j4nm-staging.b12sites.com/robots.txt		(from )
10:02:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:29%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.2.delayed	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:29%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:29%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:30	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/krishna%20enterprises/code.jquery.com/jquery-3.3.1.min.js	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:29%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:30%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:30%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:30%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:31%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
10:02:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2008%20Feb%202025%2004:32:31%20GMT	http://krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/krishna%20enterprises/krishna-enterprises-j4nm-staging.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://krishna-enterprises-j4nm-staging.b12sites.com/index)
